# frame 	 moment
0 2.38707146731994e+01
1000 2.39933009070870e+01
2000 2.40737387456316e+01
3000 2.40846907019642e+01
4000 2.41422218964027e+01
5000 2.42348291393560e+01
6000 2.45206613762773e+01
7000 2.45344646273174e+01
8000 2.44663680925374e+01
9000 2.45593538997258e+01
10000 2.45971823154374e+01
11000 2.46854307669101e+01
12000 2.44466608740914e+01
13000 2.44403935875842e+01
14000 2.44395223504925e+01
15000 2.44672002141714e+01
16000 2.44939775296034e+01
17000 2.43193602689343e+01
18000 2.44038573977293e+01
19000 2.45723763286600e+01
20000 2.45063727803411e+01
21000 2.44103235998621e+01
22000 2.44742580400077e+01
23000 2.44143458458021e+01
24000 2.42087147552234e+01
25000 2.44519350642870e+01
26000 2.44280717103004e+01
27000 2.45368792791418e+01
28000 2.46810236610327e+01
29000 2.46302231764283e+01
30000 2.48065355637489e+01
31000 2.49341745627441e+01
32000 2.48134367984644e+01
33000 2.47589583374689e+01
34000 2.46401572375634e+01
35000 2.47025822121414e+01
36000 2.44534755393538e+01
37000 2.46312284658298e+01
38000 2.44458912863302e+01
39000 2.48519236668667e+01
40000 2.49105109962084e+01
41000 2.51037528428484e+01
42000 2.48152834506676e+01
43000 2.48623977327421e+01
44000 2.47987335383857e+01
45000 2.46613518936851e+01
46000 2.46438777033739e+01
47000 2.44316619872807e+01
48000 2.45816978076527e+01
49000 2.47769141685317e+01
50000 2.45732683803821e+01
51000 2.48820779044216e+01
52000 2.46392962636905e+01
53000 2.46171846528859e+01
54000 2.46151787330967e+01
55000 2.46333784171894e+01
56000 2.47491835476161e+01
57000 2.47662058434172e+01
58000 2.48458324561479e+01
59000 2.46037595710366e+01
60000 2.47621332914260e+01
61000 2.47663162162441e+01
62000 2.47748362792981e+01
63000 2.45719709130302e+01
64000 2.46318336704123e+01
65000 2.47054642625089e+01
66000 2.46606052129593e+01
67000 2.47557690583493e+01
68000 2.49469500512049e+01
69000 2.49129971685806e+01
70000 2.45220310379123e+01
71000 2.45948302212118e+01
72000 2.47549064945616e+01
73000 2.48067138705565e+01
74000 2.47556741955514e+01
75000 2.47811805779936e+01
76000 2.45368628746517e+01
77000 2.45262863366186e+01
78000 2.44648030091212e+01
79000 2.44717253675104e+01
80000 2.46141402281155e+01
81000 2.46212232124074e+01
82000 2.46267177919619e+01
83000 2.47192157257716e+01
84000 2.47237726082815e+01
85000 2.45988318137851e+01
86000 2.46447923304832e+01
87000 2.46960228840768e+01
88000 2.46734735107579e+01
89000 2.45593855197132e+01
90000 2.42820791245268e+01
91000 2.44897956007583e+01
92000 2.44729992041946e+01
93000 2.46874775751402e+01
94000 2.48697539356932e+01
95000 2.47510602917739e+01
96000 2.45119950243051e+01
97000 2.45486560771628e+01
98000 2.44796791525603e+01
99000 2.42960687476184e+01
100000 2.44398522572937e+01
101000 2.43552713115308e+01
102000 2.45548272099109e+01
103000 2.47192628079178e+01
104000 2.46606298254635e+01
105000 2.46689369280883e+01
106000 2.47712951543908e+01
107000 2.47207961119858e+01
108000 2.47116253506551e+01
109000 2.46108830760333e+01
110000 2.45066042406674e+01
111000 2.47053689856317e+01
112000 2.44897804817181e+01
113000 2.45578349711395e+01
114000 2.46112856546268e+01
115000 2.46464639251365e+01
116000 2.46535865381116e+01
117000 2.48560817932062e+01
118000 2.49222433056651e+01
119000 2.49040542648514e+01
120000 2.49524898016003e+01
121000 2.49718191870460e+01
122000 2.50050100684822e+01
123000 2.49140214650804e+01
124000 2.48504183749767e+01
125000 2.48732910506173e+01
126000 2.49334902950764e+01
127000 2.50493144626871e+01
128000 2.48963368373202e+01
129000 2.50133520691525e+01
130000 2.50771251455935e+01
131000 2.46135559527621e+01
132000 2.46953564462374e+01
133000 2.48148715219545e+01
134000 2.47989011485985e+01
135000 2.47919960852907e+01
136000 2.46310397046145e+01
137000 2.47936198150206e+01
138000 2.47199382167341e+01
139000 2.48014426906920e+01
140000 2.46991038040493e+01
141000 2.46991162549305e+01
142000 2.48790985579973e+01
143000 2.48475086039605e+01
144000 2.47961212175506e+01
145000 2.48532990374832e+01
146000 2.48940844340261e+01
147000 2.49788680373872e+01
148000 2.49857387724256e+01
149000 2.51456394271975e+01
150000 2.50946770456586e+01
151000 2.48166353979544e+01
152000 2.47445779738323e+01
153000 2.48935598061695e+01
154000 2.46489613604559e+01
155000 2.46593906280836e+01
156000 2.46133134566869e+01
157000 2.47559269103576e+01
158000 2.46048529074905e+01
159000 2.45002295538711e+01
160000 2.44705557468640e+01
161000 2.47691808928174e+01
162000 2.46352520367072e+01
163000 2.45875657077893e+01
164000 2.45366235473360e+01
165000 2.46914564735140e+01
166000 2.46129975895763e+01
167000 2.47265177462734e+01
168000 2.46373594855820e+01
169000 2.47813351370006e+01
170000 2.48576218402556e+01
171000 2.49036980234277e+01
172000 2.48986615797481e+01
173000 2.48312783169464e+01
174000 2.49340652698985e+01
175000 2.46889420916580e+01
176000 2.46566210851235e+01
177000 2.46457403881904e+01
178000 2.45817865927972e+01
179000 2.45892777197779e+01
180000 2.46995208429662e+01
181000 2.50128463649059e+01
182000 2.50720396819359e+01
183000 2.50333286161158e+01
184000 2.49713202157875e+01
185000 2.49748289163488e+01
186000 2.48712286771944e+01
187000 2.48871367707243e+01
188000 2.47918513181862e+01
189000 2.48156440694702e+01
190000 2.49698238124160e+01
191000 2.48316709653314e+01
192000 2.47884535591217e+01
193000 2.49313367317592e+01
194000 2.49648727097824e+01
195000 2.47814290464915e+01
196000 2.49110542672012e+01
197000 2.49524365705836e+01
198000 2.50599966784755e+01
199000 2.51204704693620e+01
200000 2.50245647321692e+01
201000 2.50159388929550e+01
202000 2.50109454856359e+01
203000 2.48586649187215e+01
204000 2.50141462399226e+01
205000 2.52820420294493e+01
206000 2.52219717125615e+01
207000 2.52170986148147e+01
208000 2.52089532724959e+01
209000 2.51951035395554e+01
210000 2.52716499938441e+01
211000 2.52265880073284e+01
212000 2.53517541385640e+01
213000 2.54219260267912e+01
214000 2.53111298514608e+01
215000 2.52240996961805e+01
216000 2.54978794961161e+01
217000 2.54760187551330e+01
218000 2.53112737708808e+01
219000 2.55222971078979e+01
220000 2.53612561594157e+01
221000 2.52593141914422e+01
222000 2.51261109739046e+01
223000 2.51108929925565e+01
224000 2.53058475515711e+01
225000 2.53732145924292e+01
226000 2.54163389682466e+01
227000 2.55227783853786e+01
228000 2.55708780148025e+01
229000 2.53740534444964e+01
230000 2.53815364469691e+01
231000 2.54720062887306e+01
232000 2.54311074875803e+01
233000 2.55461136338377e+01
234000 2.53160541385742e+01
235000 2.56044913204417e+01
236000 2.56997800831373e+01
237000 2.55121469744394e+01
238000 2.53419690916342e+01
239000 2.55984074414780e+01
240000 2.52335030610218e+01
241000 2.53435445343933e+01
242000 2.51838321734174e+01
243000 2.54229385697103e+01
244000 2.51435975609700e+01
245000 2.51891024762423e+01
246000 2.52247798740663e+01
247000 2.52307766125718e+01
248000 2.51222833930129e+01
249000 2.50709941834373e+01
250000 2.48369848104806e+01
251000 2.50018217815472e+01
252000 2.50824541552055e+01
253000 2.50255198331110e+01
254000 2.49467890078361e+01
255000 2.49533508938494e+01
256000 2.48375466515133e+01
257000 2.50689498998266e+01
258000 2.49662058782030e+01
259000 2.48902347564687e+01
260000 2.49784958418567e+01
261000 2.50955912789371e+01
262000 2.50736688252092e+01
263000 2.52582031093602e+01
264000 2.52144716884170e+01
265000 2.53204725846291e+01
266000 2.50577989557922e+01
267000 2.51292691618453e+01
268000 2.50673574516714e+01
269000 2.51708614472964e+01
270000 2.51608066750907e+01
271000 2.54102870945949e+01
272000 2.55096451471591e+01
273000 2.54374463690794e+01
274000 2.53376923954404e+01
275000 2.53389674931515e+01
276000 2.53778720868398e+01
277000 2.53645932536231e+01
278000 2.53747873010022e+01
279000 2.52286394572171e+01
280000 2.51481309972538e+01
281000 2.51039723851303e+01
282000 2.53057037522780e+01
283000 2.51999610333189e+01
284000 2.50837389275091e+01
285000 2.50086402210098e+01
286000 2.51708078622320e+01
287000 2.50792522762392e+01
288000 2.51940325178597e+01
289000 2.49748654190248e+01
290000 2.50322750620065e+01
291000 2.49951781605270e+01
292000 2.51808567206279e+01
293000 2.53981829157513e+01
294000 2.53018522321474e+01
295000 2.52072277516846e+01
296000 2.51473069545466e+01
297000 2.52063570030935e+01
298000 2.51240499217299e+01
299000 2.52458642135566e+01
300000 2.53273200101314e+01
301000 2.52773169723215e+01
302000 2.52058025250650e+01
303000 2.52229387006074e+01
304000 2.51138060252487e+01
305000 2.52624385861726e+01
306000 2.51430034219849e+01
307000 2.52919213196041e+01
308000 2.50977593511504e+01
309000 2.51363722823369e+01
310000 2.52125460293843e+01
311000 2.50297055130693e+01
312000 2.51731090738894e+01
313000 2.52968113879334e+01
314000 2.52214834347654e+01
315000 2.52377487775144e+01
316000 2.53012145032173e+01
317000 2.53561941574003e+01
318000 2.52818393062917e+01
319000 2.51939090282058e+01
320000 2.53763042828726e+01
321000 2.50579196108238e+01
322000 2.49969126485593e+01
323000 2.49909153873050e+01
324000 2.48618880379028e+01
325000 2.48589303650836e+01
326000 2.47049844515655e+01
327000 2.48660885561938e+01
328000 2.49360128076823e+01
329000 2.49350858802934e+01
330000 2.50867928983314e+01
331000 2.51976352540581e+01
332000 2.49327230537660e+01
333000 2.53170556987845e+01
334000 2.50220830820699e+01
335000 2.50551881453093e+01
336000 2.49541227047583e+01
337000 2.49409165131222e+01
338000 2.48800523981601e+01
339000 2.49610910221732e+01
340000 2.49573779832554e+01
341000 2.49245758396302e+01
342000 2.48991637621495e+01
343000 2.49115686586769e+01
344000 2.52791731661942e+01
345000 2.50866289549772e+01
346000 2.52218918809777e+01
347000 2.50859438223938e+01
348000 2.52110373664250e+01
349000 2.52477586463405e+01
350000 2.53429461393168e+01
351000 2.54634380591154e+01
352000 2.54233981009543e+01
353000 2.52985287672413e+01
354000 2.52633304391915e+01
355000 2.52701411710075e+01
356000 2.52836257837601e+01
357000 2.52814985981371e+01
358000 2.51737869996788e+01
359000 2.51073229733928e+01
360000 2.50869177130726e+01
361000 2.50937683697806e+01
362000 2.51008037052390e+01
363000 2.52205315788379e+01
364000 2.51618420796920e+01
365000 2.50870841109214e+01
366000 2.52686465979936e+01
