# frame 	 moment
0 2.48823078410604e+01
1000 2.49994590811289e+01
2000 2.51694542052078e+01
3000 2.52020952972459e+01
4000 2.51428067099814e+01
5000 2.50778764713140e+01
6000 2.52550293290420e+01
7000 2.53705897956760e+01
8000 2.51948161614088e+01
9000 2.49973079022597e+01
10000 2.49692594732764e+01
11000 2.50915612094938e+01
12000 2.52227446720798e+01
13000 2.51843365370501e+01
14000 2.50936648667877e+01
15000 2.52216187611197e+01
16000 2.51647348289651e+01
17000 2.51687429811472e+01
18000 2.52609045717244e+01
19000 2.52285280511421e+01
20000 2.52151836554204e+01
21000 2.52706727858526e+01
22000 2.52376954195350e+01
23000 2.53890754315324e+01
24000 2.52775416434040e+01
25000 2.51568284032767e+01
26000 2.51364002947692e+01
27000 2.50294859596542e+01
28000 2.50928127551554e+01
29000 2.51773781600693e+01
30000 2.50264699991381e+01
31000 2.53107388620684e+01
32000 2.53445292705014e+01
33000 2.50570697665361e+01
34000 2.51046624709116e+01
35000 2.49691016172807e+01
36000 2.50957456602344e+01
37000 2.50762900723671e+01
38000 2.51822159855505e+01
39000 2.52081175469280e+01
40000 2.54701161162551e+01
41000 2.54187034701399e+01
42000 2.53127025549814e+01
43000 2.51647315333238e+01
44000 2.50793644367755e+01
45000 2.50496195609353e+01
46000 2.52394791822351e+01
47000 2.52458484306054e+01
48000 2.51741511218746e+01
49000 2.49664863586109e+01
50000 2.49406642411141e+01
51000 2.50148103641683e+01
52000 2.49462582447458e+01
53000 2.51797060465976e+01
54000 2.50126761058311e+01
55000 2.50254970828438e+01
56000 2.49089715610048e+01
57000 2.48705485323352e+01
58000 2.49123572502523e+01
59000 2.49641709725516e+01
60000 2.48920021838461e+01
61000 2.49122067643779e+01
62000 2.48682678115736e+01
63000 2.48056574791753e+01
64000 2.49368172720420e+01
65000 2.49335813102340e+01
66000 2.49445259927735e+01
67000 2.50326182622259e+01
68000 2.49107922424436e+01
69000 2.51698775775224e+01
70000 2.50011016341634e+01
71000 2.52742882071544e+01
72000 2.51915148419459e+01
73000 2.51870530876357e+01
74000 2.51438263073687e+01
75000 2.51584398534074e+01
76000 2.49663823059216e+01
77000 2.51534736072761e+01
78000 2.51575648307476e+01
79000 2.51274136831607e+01
80000 2.51507496283592e+01
81000 2.51812798286531e+01
82000 2.50514668169159e+01
83000 2.51291576760857e+01
84000 2.52390692547700e+01
85000 2.52157099275811e+01
86000 2.52630336606166e+01
87000 2.50744410436265e+01
88000 2.50555701161277e+01
89000 2.51130190896619e+01
90000 2.50594670977589e+01
91000 2.52043335213793e+01
92000 2.49092079998128e+01
93000 2.49808895360344e+01
94000 2.49802234622989e+01
95000 2.47917609405101e+01
96000 2.51133695852845e+01
97000 2.50887324095820e+01
98000 2.51976919930634e+01
99000 2.54527848285919e+01
100000 2.54167003491488e+01
101000 2.52193685928591e+01
102000 2.52960909294478e+01
103000 2.54552937957509e+01
104000 2.53169182834755e+01
105000 2.53659900459114e+01
106000 2.54586572944762e+01
107000 2.52657875708105e+01
108000 2.54676610601633e+01
109000 2.52844090426373e+01
110000 2.54085339095337e+01
111000 2.51858062556363e+01
112000 2.52288124225958e+01
113000 2.52136647229555e+01
114000 2.52735499020131e+01
115000 2.53742933577662e+01
116000 2.54376671942962e+01
117000 2.53308196299134e+01
118000 2.53476845709650e+01
119000 2.54481845730856e+01
120000 2.54961197942295e+01
121000 2.55226927081463e+01
122000 2.54289426296769e+01
123000 2.55505231337915e+01
124000 2.53894245900322e+01
125000 2.53780350099796e+01
126000 2.55292741655913e+01
127000 2.55892963959235e+01
128000 2.54887061960299e+01
129000 2.56207266003527e+01
130000 2.55177878219893e+01
131000 2.55228250384024e+01
132000 2.55176085379125e+01
133000 2.53456176477196e+01
134000 2.54411470088654e+01
135000 2.53367039658346e+01
136000 2.52055831488911e+01
137000 2.52149078078290e+01
138000 2.53851056140905e+01
139000 2.50008606512416e+01
140000 2.51341397916479e+01
141000 2.49205163595707e+01
142000 2.47743796556697e+01
143000 2.49856909323136e+01
144000 2.49431636230018e+01
145000 2.51463229546489e+01
146000 2.49535546762533e+01
147000 2.50499772621543e+01
148000 2.51287893707302e+01
149000 2.52192469975121e+01
150000 2.52986045039375e+01
151000 2.53588064066246e+01
152000 2.54366380233259e+01
153000 2.51146277754917e+01
154000 2.52039864477766e+01
155000 2.51482115020292e+01
156000 2.53090911881540e+01
157000 2.53160359924925e+01
158000 2.51731142375333e+01
159000 2.51329516312838e+01
160000 2.51744241124764e+01
161000 2.51219325952237e+01
162000 2.51705773281003e+01
163000 2.50910722125373e+01
164000 2.50142700884235e+01
165000 2.51356666239438e+01
166000 2.50715414251308e+01
167000 2.52191329398144e+01
168000 2.52055271237362e+01
169000 2.54156394800958e+01
170000 2.52677335527680e+01
171000 2.53110575303210e+01
172000 2.54665684118821e+01
173000 2.56154332064245e+01
174000 2.53793171965130e+01
175000 2.53966548248565e+01
176000 2.56532738113670e+01
177000 2.52941164948939e+01
178000 2.51060134498986e+01
