# frame 	 moment
0 2.17197352919785e+01
1000 2.21319988694305e+01
2000 2.22293681898752e+01
3000 2.23966162045611e+01
4000 2.21816261066849e+01
5000 2.24437848171874e+01
6000 2.26551649215797e+01
7000 2.25059043794855e+01
8000 2.27788077683235e+01
9000 2.26281145783314e+01
10000 2.26860105877053e+01
11000 2.28030095295886e+01
12000 2.27357999598661e+01
13000 2.30240118408755e+01
14000 2.30699516706986e+01
15000 2.26101847110439e+01
16000 2.27129602634533e+01
17000 2.28492248375050e+01
18000 2.27956057453255e+01
19000 2.29046362460186e+01
20000 2.30384747243576e+01
21000 2.29803519782898e+01
22000 2.29906895712912e+01
23000 2.30442882005198e+01
24000 2.29673973483092e+01
25000 2.28570577724944e+01
26000 2.29476030704754e+01
27000 2.30031444832455e+01
28000 2.27071690935890e+01
29000 2.29263149645802e+01
30000 2.31120610722603e+01
31000 2.32214797487668e+01
32000 2.31078965715144e+01
33000 2.32542978714688e+01
34000 2.31762309327121e+01
35000 2.32599098267185e+01
36000 2.33287162955822e+01
37000 2.29969805058690e+01
38000 2.28568538253685e+01
39000 2.29584993789122e+01
40000 2.27918522017469e+01
41000 2.29261702217774e+01
42000 2.29734821524272e+01
43000 2.30527943948971e+01
44000 2.30854865487953e+01
45000 2.30610752297851e+01
46000 2.30911395038206e+01
47000 2.32135694898706e+01
48000 2.32046054494300e+01
49000 2.31599366621123e+01
50000 2.30940601731719e+01
51000 2.32019163981361e+01
52000 2.30269094772617e+01
53000 2.30537317155199e+01
54000 2.29770210422618e+01
55000 2.30002411937907e+01
56000 2.28177690973453e+01
57000 2.28891706993171e+01
58000 2.28511992457177e+01
59000 2.30899092693414e+01
60000 2.30532776334210e+01
61000 2.29124085582174e+01
62000 2.29832856604856e+01
63000 2.31364996603889e+01
64000 2.30841383171782e+01
65000 2.31141415764910e+01
66000 2.32428945403262e+01
67000 2.33573770444644e+01
68000 2.33721204568101e+01
69000 2.31651075519470e+01
70000 2.34694057347660e+01
71000 2.34557562667465e+01
72000 2.36702226582237e+01
73000 2.37589454957075e+01
74000 2.37617945164603e+01
75000 2.35731610277972e+01
76000 2.35766994895854e+01
77000 2.34485100722436e+01
78000 2.35169173662195e+01
79000 2.33081316728273e+01
80000 2.33696191705769e+01
81000 2.33065217183046e+01
82000 2.33862699583117e+01
83000 2.34644738188323e+01
84000 2.33910851216512e+01
85000 2.33907796439093e+01
86000 2.32526312463601e+01
87000 2.32814609119919e+01
88000 2.33660608637822e+01
89000 2.32501319036915e+01
90000 2.32442634584556e+01
91000 2.33194033479745e+01
92000 2.31427609237211e+01
93000 2.32496640120884e+01
94000 2.32698465459299e+01
95000 2.32569720450054e+01
96000 2.33174535164735e+01
97000 2.30865561330578e+01
98000 2.31332700791957e+01
99000 2.32415891303922e+01
100000 2.34191938016485e+01
101000 2.34207051467624e+01
102000 2.35249945233007e+01
103000 2.34160094049022e+01
104000 2.34640124778731e+01
105000 2.36368315693186e+01
106000 2.34274015298280e+01
107000 2.36328375223460e+01
108000 2.35160817085266e+01
109000 2.32063255173781e+01
110000 2.32857023578508e+01
111000 2.36509032207117e+01
112000 2.36159442745013e+01
113000 2.35246376218062e+01
114000 2.35076045653785e+01
115000 2.34898016754465e+01
116000 2.33335321820132e+01
117000 2.33572290941453e+01
118000 2.32708952697326e+01
119000 2.31619874155012e+01
120000 2.31450016329000e+01
121000 2.31742034193429e+01
122000 2.30985471606318e+01
123000 2.31122799803505e+01
124000 2.31913793534437e+01
125000 2.30166377636581e+01
126000 2.31087335935602e+01
127000 2.31409647510262e+01
128000 2.33194615529523e+01
129000 2.34324015479284e+01
130000 2.34426954700408e+01
131000 2.32556252118148e+01
132000 2.32554392484547e+01
133000 2.33229516476661e+01
134000 2.30203362427508e+01
135000 2.31808914022034e+01
136000 2.32338223691530e+01
137000 2.30813577329413e+01
138000 2.30572473581814e+01
139000 2.29397924953444e+01
140000 2.29696943160457e+01
141000 2.31148568940942e+01
142000 2.33419673715410e+01
143000 2.35767207307749e+01
144000 2.34313284900871e+01
145000 2.33880118365929e+01
146000 2.34414055882775e+01
147000 2.33552939170033e+01
148000 2.34232175072110e+01
149000 2.31419345840387e+01
150000 2.31446085301736e+01
