# frame 	 moment
0 3.78534616030721e+01
1000 3.81026139905821e+01
2000 3.81501892509892e+01
3000 3.82365591336605e+01
4000 3.81533845757529e+01
5000 3.83777008013514e+01
6000 3.84174017530937e+01
7000 3.83594654379827e+01
8000 3.84303777458073e+01
9000 3.84056224307813e+01
10000 3.85190055258865e+01
11000 3.85317017163227e+01
12000 3.84519448372049e+01
13000 3.84740560377482e+01
14000 3.84199998966763e+01
15000 3.84500151829695e+01
16000 3.85818494844108e+01
17000 3.87955630028233e+01
18000 3.89455349693113e+01
19000 3.90592339336511e+01
20000 3.92574369355390e+01
21000 3.92550760278772e+01
22000 3.92207615949542e+01
23000 3.91941817475358e+01
24000 3.92020386496927e+01
25000 3.92878688778244e+01
26000 3.91275175776340e+01
27000 3.91707923280153e+01
28000 3.93859964771998e+01
29000 3.95153424629151e+01
30000 3.95726924643372e+01
31000 3.97585350368161e+01
32000 3.96931905623132e+01
33000 3.96754732024023e+01
34000 3.95732663796903e+01
35000 3.96866931451979e+01
36000 3.96908038176999e+01
37000 3.96309356345745e+01
38000 3.97542701909591e+01
39000 3.98151587348840e+01
40000 3.98098397696125e+01
41000 3.98892091731585e+01
42000 3.99847548155698e+01
43000 3.99822435237198e+01
44000 4.01515219216856e+01
45000 4.00814154164178e+01
46000 4.00071053263024e+01
47000 3.99626721193906e+01
48000 3.99316716220895e+01
49000 4.00279703480361e+01
50000 3.99204151274359e+01
51000 3.97745142368978e+01
52000 3.99055024542179e+01
53000 4.00186903092192e+01
54000 3.99900020088243e+01
55000 4.00621771719160e+01
56000 4.00496144955673e+01
57000 4.00931006824639e+01
58000 4.01296510980841e+01
59000 4.00522160853981e+01
60000 4.01182566209398e+01
61000 3.99764342151814e+01
62000 3.99322563673228e+01
63000 3.99730795770506e+01
64000 4.00780355439530e+01
65000 4.02418838284791e+01
66000 4.02126440496726e+01
67000 4.00198235334898e+01
68000 4.00780654697529e+01
69000 4.00694236143718e+01
70000 4.00674855356205e+01
71000 4.01849370513417e+01
72000 4.03123042796747e+01
73000 4.01169233356772e+01
74000 4.00938214365125e+01
75000 4.03083851288070e+01
76000 4.02153641729465e+01
77000 4.02322214084587e+01
78000 4.01249002925123e+01
79000 4.01444678779444e+01
80000 4.01891896040810e+01
81000 4.01455818354573e+01
82000 4.01619945371074e+01
83000 4.00832772977877e+01
84000 3.99170366845739e+01
85000 3.99717834101318e+01
86000 3.99711857763688e+01
87000 3.98511756204266e+01
88000 3.98306488346386e+01
89000 3.98468186453988e+01
90000 3.99874310321714e+01
91000 3.97494528757816e+01
92000 3.98675592054970e+01
93000 3.97555701722668e+01
94000 3.98093312944612e+01
95000 3.97846074321164e+01
96000 3.96285009484542e+01
97000 3.95706182700840e+01
98000 3.95891297937424e+01
99000 3.97165003386902e+01
100000 3.95807710573150e+01
101000 3.95289150658858e+01
102000 3.96661579630133e+01
103000 3.97334776693907e+01
104000 3.97309701538222e+01
105000 3.98515093700437e+01
106000 3.98443098328003e+01
107000 3.99021141960107e+01
108000 4.00352990051075e+01
109000 3.99158254317487e+01
110000 3.97849926326923e+01
111000 3.96957878694221e+01
112000 3.97358766463037e+01
113000 3.97341589868633e+01
114000 3.96735103863173e+01
115000 3.97939355654157e+01
116000 3.99660000104696e+01
117000 4.00032842351487e+01
118000 4.00952512184865e+01
119000 4.00645901117575e+01
120000 4.00052240756096e+01
121000 4.02201992479272e+01
122000 4.02478343658763e+01
123000 4.03067982108790e+01
124000 4.01037530650527e+01
125000 3.99369207690606e+01
126000 4.01190473356070e+01
127000 4.01116197057609e+01
128000 3.98491683987954e+01
129000 3.98685612759693e+01
130000 3.98450198352530e+01
131000 3.99394965518255e+01
132000 3.99138406884649e+01
133000 4.01128680281436e+01
134000 4.00709873257527e+01
135000 3.99812481293179e+01
136000 4.00522161145715e+01
137000 3.99902838127088e+01
138000 3.99976400118196e+01
139000 3.99465173504708e+01
140000 3.99524341348599e+01
141000 3.99982859209038e+01
142000 3.98418847261157e+01
143000 3.98601349268308e+01
144000 3.99703358371974e+01
145000 4.00178367038249e+01
146000 4.01554449269156e+01
147000 4.00989879444410e+01
148000 4.01547928949534e+01
149000 4.00369434217827e+01
150000 4.00711058185426e+01
151000 3.98619600890585e+01
152000 3.96824967045774e+01
153000 3.98184494160383e+01
154000 3.96237738097371e+01
155000 3.95541125245643e+01
156000 3.94105568512229e+01
157000 3.95142156319177e+01
158000 3.96578877162483e+01
159000 3.96173649346051e+01
160000 3.95399211008720e+01
161000 3.96690636730791e+01
162000 3.97765426412925e+01
163000 3.97654728270885e+01
164000 3.98287061039663e+01
165000 3.98678814387122e+01
166000 4.01672361728398e+01
167000 4.01026912552115e+01
168000 4.00820869159646e+01
169000 4.02017858953828e+01
170000 4.00984974465596e+01
171000 3.99813653897270e+01
172000 3.98990472109223e+01
173000 3.99510659465802e+01
174000 4.00488430034751e+01
175000 4.01592770980465e+01
176000 4.00766838914297e+01
177000 3.99491950537977e+01
178000 3.99094289822921e+01
179000 3.98977714761190e+01
180000 4.01165404099813e+01
181000 4.00634804227010e+01
182000 4.00106579408264e+01
183000 4.00207261195148e+01
184000 4.00093172464889e+01
185000 4.00322271040707e+01
186000 3.99543076635834e+01
187000 3.99035611375214e+01
188000 3.99511127216629e+01
189000 3.99270840700041e+01
190000 3.99479818226874e+01
191000 3.97680051880381e+01
192000 3.97997813494527e+01
193000 3.96330651108511e+01
194000 3.95471831074697e+01
195000 3.96313799588248e+01
196000 3.96558345535317e+01
197000 3.97415390465231e+01
198000 3.99210315347442e+01
199000 3.99840090915986e+01
200000 3.98672719246230e+01
201000 3.98681682173927e+01
202000 3.97793959083056e+01
203000 3.98494039889311e+01
204000 3.98590732145537e+01
205000 3.97167582417020e+01
206000 3.98942281267159e+01
207000 4.00240315602614e+01
208000 4.02343516809754e+01
209000 4.00312339542007e+01
210000 3.98749349756658e+01
211000 3.97187578704391e+01
212000 3.99965940415206e+01
213000 4.00513654130185e+01
214000 4.00247450310058e+01
215000 4.00779638812956e+01
216000 4.00389322401616e+01
217000 3.99011586746863e+01
218000 3.99628675368020e+01
219000 3.98794947660544e+01
220000 3.98492035525432e+01
221000 3.99520939586059e+01
222000 3.99563097788895e+01
223000 4.00191744747211e+01
224000 3.99852033867193e+01
225000 3.99253107064847e+01
226000 3.98485859527257e+01
227000 3.99528940673501e+01
228000 3.99799714605711e+01
229000 3.97721210862653e+01
230000 3.98458265004578e+01
231000 3.98800845731866e+01
232000 3.99244834854074e+01
233000 3.99162367946567e+01
234000 3.99582866186590e+01
235000 4.01584235305447e+01
236000 4.02085362281855e+01
237000 4.01739981496569e+01
238000 4.02053945215690e+01
239000 3.99531206028276e+01
240000 3.99861736756030e+01
241000 3.99662398025766e+01
242000 4.00149183242361e+01
243000 4.01723299643451e+01
244000 4.01664082092104e+01
245000 4.01509490213367e+01
246000 4.02034149539174e+01
247000 4.01662102132697e+01
248000 3.99765463720367e+01
249000 3.99648523206403e+01
250000 4.00922346791017e+01
251000 3.99952035512347e+01
252000 3.99367527732858e+01
253000 3.99304372057815e+01
254000 3.98330901044958e+01
255000 3.98586277883712e+01
256000 3.96950288756344e+01
257000 3.98193190968641e+01
258000 3.99736877232566e+01
259000 3.99586615677004e+01
260000 4.00169286711157e+01
261000 4.00182451071468e+01
262000 4.00967863413212e+01
263000 4.01300233949844e+01
264000 4.01326182419235e+01
265000 4.00985907810689e+01
266000 4.02043952714691e+01
267000 4.01420092798685e+01
268000 4.00989547245501e+01
269000 4.00368483666400e+01
270000 4.00438796904819e+01
271000 4.02048193670059e+01
272000 4.01784166000052e+01
273000 4.01491801625139e+01
274000 4.02531220885124e+01
275000 4.01349432030222e+01
276000 4.00850126958575e+01
277000 4.00772262514955e+01
278000 4.01969097638227e+01
279000 3.99875591316941e+01
280000 4.01612119289848e+01
281000 4.02065351915587e+01
282000 4.00315710522983e+01
283000 4.01264762131791e+01
284000 4.01693737246713e+01
285000 4.01599797230843e+01
286000 4.01568790678718e+01
287000 4.03366263238193e+01
288000 4.02132583305778e+01
289000 4.00736903057589e+01
290000 4.02111413958987e+01
291000 4.01310900478778e+01
292000 4.02141166253458e+01
293000 4.03960523836026e+01
294000 4.05046459645063e+01
295000 4.05290643128321e+01
296000 4.04319666917767e+01
297000 4.04779820175883e+01
298000 4.04154571216405e+01
299000 4.05267603763598e+01
300000 4.04720099826847e+01
301000 4.03166078176774e+01
302000 4.04707202768129e+01
303000 4.04453503751663e+01
304000 4.03479809708618e+01
305000 4.05296487236184e+01
306000 4.03642982818721e+01
307000 4.02467724918624e+01
308000 4.03284311559945e+01
309000 4.03658865418678e+01
310000 4.02891855532582e+01
311000 4.01348473323902e+01
312000 4.01568253883751e+01
313000 4.02403732914812e+01
314000 4.02571746227336e+01
315000 4.01799018046239e+01
316000 4.01322193890834e+01
317000 4.00419686333391e+01
318000 4.00384563280253e+01
319000 4.01383529657084e+01
320000 4.00189033784105e+01
321000 3.97424128705718e+01
322000 3.98923661383200e+01
323000 3.98323170457051e+01
324000 4.00153032521835e+01
325000 4.00850192111078e+01
326000 4.00223997922346e+01
327000 4.01132207361107e+01
328000 4.02200969638207e+01
329000 4.01783760807793e+01
330000 4.02749480976582e+01
331000 4.00337217708762e+01
332000 4.00817322034245e+01
333000 4.01529828388493e+01
334000 4.02642307702679e+01
335000 4.01895290664944e+01
336000 4.00794161476985e+01
337000 4.00602404316853e+01
338000 4.00611555560395e+01
339000 4.02394490971306e+01
340000 4.01972953699201e+01
341000 4.02730338823029e+01
342000 4.02029072448364e+01
343000 4.03653200384326e+01
344000 4.04483440978541e+01
345000 4.03309770871287e+01
346000 4.03195070722962e+01
347000 4.02305957341970e+01
348000 4.02067099547785e+01
349000 4.02266106055205e+01
350000 4.03157593546747e+01
351000 4.01488494860347e+01
352000 4.02702350744309e+01
353000 4.03913682939155e+01
354000 4.02527680977801e+01
355000 4.01306606584626e+01
356000 4.01841463251376e+01
