# frame 	 angles
0 1.5313 0.9867 9.1100 9.7250 1.5196 11.8368 1.7617 4.2903 0.2605 1.8913 6.4041 6.8680 1.8413 0.7226 0.3080 2.1988 0.6298 2.0282 1.1537 2.4730 13.8943 2.8506 1.5009 1.3925 0.1957 0.9659 0.9379 1.4969 8.2377 0.9386
1000 0.2310 0.4415 12.5360 8.4767 0.9165 14.0955 0.3116 1.6778 2.3606 0.8188 6.4366 8.0205 2.0034 1.4312 2.4393 3.6410 1.8653 1.3720 2.5865 2.7954 13.1504 4.1410 3.0068 0.1470 0.8855 0.1656 1.1981 0.3089 3.9765 1.5722
2000 0.0230 0.1292 6.1008 4.0555 2.4788 13.5437 1.4109 3.0156 0.4929 2.3933 7.0165 6.9587 5.2591 1.2443 0.4160 0.8244 0.3594 1.1160 1.3155 0.9389 9.8926 1.8026 2.1365 2.4571 6.9962 1.3203 1.5503 0.2114 7.8962 1.9217
3000 0.9295 1.8700 8.8024 7.1904 1.1682 12.2009 1.6703 0.6529 0.3159 0.5635 5.6696 9.5757 1.5541 2.0786 2.3166 2.3700 1.5980 0.6530 2.6075 3.2439 13.9192 5.6144 2.8246 0.5817 2.4080 1.8014 3.8377 2.0131 7.9743 1.3414
4000 1.3175 0.6908 9.7847 7.5448 1.8222 14.2143 0.2117 2.6147 1.9450 0.3874 4.9292 8.7831 0.0499 0.0648 1.1498 1.9402 0.8378 1.4078 0.3910 1.6329 12.4080 4.6385 4.6087 0.6100 2.3697 3.8778 7.1848 0.9263 9.5871 2.3340
5000 1.7748 0.2681 10.4843 7.9493 2.5778 11.6711 0.7340 2.4036 2.5633 1.4714 10.8189 8.8436 0.5412 0.8321 1.2068 7.5811 0.2052 1.5202 0.4534 1.5810 12.4467 0.5801 0.3853 1.2228 0.8828 1.9509 4.8912 1.0549 3.5400 1.9641
6000 0.9865 0.4030 10.5936 6.7416 2.2737 15.6044 3.5079 1.6446 0.8001 3.3902 9.7901 10.4596 0.9749 3.3568 1.1580 4.8340 1.0332 1.8897 1.0476 2.0411 17.3333 0.7396 1.5754 1.3137 2.4343 1.2349 6.8256 0.7374 5.0233 0.3090
7000 0.6346 1.9990 10.4408 6.5326 2.5474 13.5222 3.2077 0.0761 3.7054 0.6728 8.5986 8.9581 1.1602 5.0533 3.3461 6.4430 1.6246 0.1817 1.4841 2.8279 13.0395 5.2111 1.7995 1.6588 0.8923 0.8649 6.9108 1.4955 5.2919 1.6609
8000 1.7242 1.1835 8.7468 3.7950 1.7553 12.6384 2.0136 2.0778 1.3962 0.0182 9.9205 10.8770 0.2157 1.2889 0.3675 4.5327 2.5071 0.6815 2.3562 0.2961 16.7194 3.4231 0.7253 5.5413 1.1742 0.2513 4.8846 0.3136 4.6581 1.0497
9000 0.6109 1.6544 10.7338 7.2357 1.7120 9.8587 0.9190 2.2182 0.1416 0.6798 10.5642 9.2298 0.9161 0.1480 1.0550 7.5409 1.5264 1.3073 2.4382 4.7112 18.8984 2.6382 2.6675 4.4622 1.9432 0.7295 0.8484 1.2796 4.6613 2.1724
10000 0.6065 3.4866 9.1364 4.7455 1.6822 14.4860 0.0185 1.0905 1.5236 2.4769 9.7139 11.4325 3.1781 2.7703 3.1604 9.0685 3.1142 5.0011 1.3159 1.5611 19.0322 2.3848 1.2476 1.1193 1.1979 2.5426 1.3495 1.5012 5.0178 2.8306
11000 2.1398 2.2000 11.0490 6.1027 0.0071 16.8150 2.4555 0.8945 1.6850 3.2461 8.5528 10.0552 0.6235 1.7127 0.7822 9.4865 0.6275 6.8030 1.6759 2.6305 17.3555 0.5247 1.6534 2.3515 0.6122 1.5984 1.3296 1.2887 10.9390 1.6611
12000 1.6323 0.6316 8.4567 6.0897 0.5750 13.7930 1.5074 1.6655 0.3398 4.1281 12.1983 7.6811 1.3877 1.8642 6.5223 10.7351 1.1543 4.6572 0.4782 2.2343 15.8089 0.3275 0.7466 4.3865 1.2879 0.4681 0.8550 2.7762 6.9479 0.5659
13000 0.9334 0.7134 7.8039 7.1726 0.3462 15.6463 0.7845 0.1049 0.9872 5.1788 10.4916 8.1687 2.2392 0.6881 5.4113 8.0601 0.7312 3.6411 1.8436 1.7452 14.4374 1.5945 1.7588 0.1695 1.1651 2.2213 2.6216 0.4128 10.3734 0.5692
14000 2.5358 1.1502 9.4944 4.4719 0.6950 13.2494 1.1626 0.3129 2.4898 2.2034 10.4318 8.6172 0.3516 0.5090 0.3723 6.3260 2.3989 2.5248 0.4573 2.0527 15.3609 1.8565 0.5422 1.8684 2.2893 2.1861 2.0448 4.3185 9.8838 0.1809
15000 0.8795 4.8982 10.3525 4.8676 0.7042 13.6023 2.2188 0.4141 1.4126 2.3424 12.4969 12.5419 0.3953 0.6389 2.1642 7.0318 1.2276 1.1629 0.3324 0.1543 12.5666 0.2697 3.1892 0.9667 1.5592 5.8249 1.7363 0.5706 10.8183 0.1769
16000 1.0879 1.7149 9.7123 3.8765 1.0164 11.0962 0.8049 1.6027 2.4644 0.5717 9.3776 9.9366 1.9254 1.5840 3.8484 6.2697 1.7116 2.1813 2.9268 2.6022 14.1591 0.0809 1.5922 1.5057 2.1696 1.8718 2.4560 1.6030 8.6446 0.8548
17000 1.6353 0.1669 10.1385 5.0435 1.7143 9.5883 2.3976 1.4451 1.9684 1.0133 9.3139 10.5448 3.1982 3.3918 3.4565 2.7721 1.4517 0.3748 1.7148 3.5964 14.7280 5.9264 1.4984 1.3444 0.1941 2.0322 0.9453 2.2255 8.3105 1.0370
18000 0.0899 0.2179 12.4330 2.4496 0.6725 9.1333 1.4122 2.5986 1.5877 1.1671 12.8292 9.8582 0.3333 3.4609 2.3173 4.4777 2.5954 2.4535 3.7887 0.5468 16.8558 2.0816 0.7860 1.0094 2.2152 0.8949 0.2372 1.0154 7.9761 1.5859
19000 3.0796 0.3230 7.5562 5.4606 0.6704 6.5047 1.5115 1.2081 3.3722 1.7386 10.3845 8.3785 1.5167 4.4396 0.6356 4.2590 0.6703 1.0328 0.5436 0.6470 17.0157 1.6773 0.2780 1.3449 0.9614 2.0737 0.3131 2.6904 10.3809 0.6189
20000 1.2485 0.4552 8.9102 2.2378 0.3878 6.3850 2.8178 0.4116 1.6542 1.8494 9.0415 10.5624 1.5113 4.0315 1.5312 5.7314 2.3667 2.2087 0.5794 0.4439 11.4349 1.0699 1.3087 1.2414 1.1448 1.2883 1.0299 0.0795 8.4609 1.3637
21000 1.1617 1.3761 9.2367 4.5933 0.2909 11.1085 0.1520 1.0607 2.9985 0.4937 9.6991 13.3834 1.5781 4.3236 1.7900 2.5744 0.0029 2.5025 1.8762 0.9242 14.4028 2.4323 2.1663 0.1407 3.3087 1.7990 0.7361 1.1294 6.6035 0.4126
