# frame 	 heights
0 3.7501 5.0116 6.2344 4.0288 3.9875 3.8004 4.1048 4.1964 4.0715 3.8670 4.4255 4.0644 3.8262 3.9889 4.6450 3.9816 4.0102 4.1212 4.1667 4.0049 4.6329 3.9064 4.0570 3.8632 4.0617 3.8366 3.9032 3.8544 4.5431 4.0179
1000 3.8189 4.6375 5.9933 4.4235 3.8857 3.9715 3.7528 4.6606 3.8451 3.7202 4.6507 4.0795 4.1326 3.8723 4.4144 3.7661 3.9033 3.9589 3.7914 3.7622 4.3010 4.0133 3.7957 3.8359 3.8543 3.8470 4.1692 4.0073 4.0298 3.8579
2000 3.9766 4.9906 6.2781 4.1853 3.7962 3.9033 4.0313 3.9802 3.9287 4.1390 6.2402 3.9826 3.7538 3.8876 4.3414 3.9138 3.5679 3.7715 4.6441 3.9570 3.9316 3.8541 3.7244 3.9569 3.8316 3.6727 3.9134 4.0644 4.8563 4.0151
3000 4.0700 4.8698 5.9134 3.8638 3.8962 3.6864 4.1681 4.3178 3.9311 3.7003 6.3989 4.0045 4.4898 3.7559 4.6976 3.8194 3.8924 4.2280 4.4927 4.1351 3.9269 3.9349 3.6856 4.0038 3.8275 3.7536 3.7455 4.2800 4.4740 3.7828
4000 3.9924 4.5510 6.6188 4.0644 4.0506 4.1275 4.0771 3.8950 3.9765 3.9565 5.9412 3.9330 5.1695 3.8223 4.0604 4.2293 4.0706 3.9043 5.0209 4.0097 3.9213 3.8043 4.3957 3.5662 3.7739 3.7001 4.0455 3.8335 4.2992 3.8924
5000 4.3235 4.3371 7.1475 4.5192 4.0013 4.1722 3.8651 4.6090 3.9187 3.9601 4.6557 4.2627 5.4033 3.7894 4.8956 4.3353 4.3389 3.7800 3.9315 3.7625 3.7182 4.3047 4.3240 3.7083 4.2755 3.7328 4.1193 4.2089 4.0119 4.2814
6000 3.9959 4.1616 6.3740 4.2702 3.8142 3.8377 3.9780 3.8634 4.0095 3.8321 4.2720 4.3403 4.6926 3.7493 4.9075 4.0204 3.9381 4.0724 3.7416 3.9661 3.9417 4.1099 3.7324 3.7800 3.8426 4.2479 3.9116 4.1961 4.1531 4.1242
7000 3.9868 4.1524 6.3351 3.8016 3.7011 3.9633 3.7440 4.3634 3.9129 3.8249 4.7562 3.9750 5.3233 3.7780 5.0000 3.9967 4.1328 5.2626 4.6804 4.1773 4.3655 4.2368 4.0507 3.7520 3.8490 3.7850 4.2143 3.9744 4.1506 3.8819
8000 3.9568 4.2282 6.1371 4.3891 4.2081 4.0097 3.9817 3.9792 4.4328 3.9208 4.2119 4.3023 5.9743 4.0337 4.5226 4.7308 3.9103 5.0836 4.4393 3.8241 4.1345 4.4814 3.9147 3.7173 4.0926 3.9135 3.7545 3.6576 4.3884 3.7209
9000 3.8237 4.5471 5.9702 4.2141 3.7778 4.0529 4.0849 3.8689 3.8965 3.8346 5.1249 3.9819 5.3016 3.9079 4.9669 4.0230 3.7696 4.8197 4.5979 3.8646 4.0331 3.9244 3.7441 3.8004 4.2569 3.9832 3.7220 4.3682 4.0286 3.8378
