# frame 	 heights
0 3.8892 8.9600 11.4738 9.6722 9.2992 9.0960 3.9209 7.6616 4.0082 6.2715 6.7484 4.4151 6.8366 4.0336 11.0459 3.8509 6.9040 7.2538 7.9969 4.0789 10.7401 6.8228 7.3134 5.0197 5.2298 3.9737 10.1324 6.3993 7.4138 5.5035
1000 4.4066 9.3864 12.4273 8.4931 9.2140 9.4594 3.8590 7.7683 3.9374 6.0871 6.5697 4.1245 6.8494 3.9660 11.4179 3.8157 7.2677 7.4431 8.2729 4.0852 10.2986 7.1373 6.9496 4.8358 4.6291 3.9338 9.8020 6.6721 6.9411 6.4629
2000 4.2104 9.1319 11.4839 10.2362 8.4779 8.8363 3.8980 7.1317 5.0624 5.7926 6.5782 4.8289 6.5572 4.7548 11.7282 3.8599 7.2150 7.7846 7.9396 3.8629 9.6676 6.3174 7.0535 4.8746 5.1215 3.9871 9.9900 6.5865 6.8738 5.3637
3000 4.1282 9.7135 10.5708 9.8682 8.6943 7.9757 4.0315 7.4123 5.0824 4.6365 6.3841 4.1034 6.9921 4.5153 11.5005 4.4298 7.0690 7.3706 8.2941 4.0576 9.7218 6.9361 8.3832 5.2372 4.9438 4.0124 9.3968 6.9292 6.8702 4.3900
4000 4.6188 9.3587 11.3618 10.1671 8.6785 7.9240 3.8599 8.3028 4.0624 4.7746 6.2104 3.6543 6.5492 4.3397 12.0281 3.7971 6.5911 7.3004 7.7864 4.4984 10.0793 6.8045 7.0184 4.6471 5.6493 4.0106 9.4153 6.7009 7.0788 3.9107
5000 4.3733 9.2293 11.4764 9.5798 8.6336 8.3799 3.8657 7.6464 4.0423 4.3762 6.2844 4.1814 7.0130 4.2340 11.9920 4.6163 7.2082 7.2649 7.9694 4.2502 9.9179 7.2325 7.5557 5.8246 5.1532 4.0120 10.0997 6.9293 7.0689 4.4007
6000 3.8760 8.9895 11.9678 9.6117 9.1843 8.6144 3.9684 8.1542 4.3975 4.6968 6.4198 3.8996 7.3067 4.2148 11.7188 4.6451 6.4865 7.4537 7.4966 4.0644 10.1090 6.7515 7.5337 5.5655 5.2068 4.1000 9.2120 5.8908 6.9725 4.2826
7000 4.3884 8.4634 12.4208 9.4251 8.6555 8.7268 3.8090 7.8561 3.7749 3.8100 5.8535 4.2371 7.0570 4.1264 11.2666 4.6183 7.3672 7.1980 7.0216 4.2408 9.2761 6.6266 7.4784 4.8486 5.1428 4.0428 9.9385 5.9700 6.5895 4.3711
8000 3.8662 7.8426 12.6106 8.6823 8.6849 9.4001 3.7448 7.8786 3.9806 3.8538 6.6626 3.9345 6.8897 3.8893 11.4456 4.9671 6.8223 7.2177 6.7244 4.4712 9.9393 7.1493 7.5229 5.4090 5.6336 4.0011 9.7197 6.3054 6.8520 4.6058
9000 4.0854 8.7545 12.4890 9.3524 9.0407 8.2346 4.2667 7.9375 3.8688 4.7572 6.1909 3.8417 6.9503 4.4987 12.6176 4.1668 6.8725 7.5186 8.2397 4.5139 9.7617 6.2643 8.0983 6.4872 5.6851 3.9369 10.0363 6.1900 7.0796 5.0178
10000 4.0671 8.5744 12.3074 9.9377 8.1091 9.1918 4.3752 8.3897 4.1585 4.0061 6.4654 4.4253 7.1460 4.1940 12.1376 3.8365 6.2862 6.8631 7.4692 3.8992 9.5631 6.6366 7.8403 5.9063 5.0698 3.9549 10.4625 6.5270 6.7197 5.2933
11000 4.0017 9.0877 12.1329 9.8158 8.6430 8.8079 4.2333 7.7780 3.7798 3.7688 6.7851 3.9955 6.3748 4.0404 12.4687 4.2046 6.4771 7.2820 6.7195 4.0304 9.0897 7.0701 7.5944 6.4163 4.4114 4.4985 10.3830 6.0072 6.7337 4.3459
12000 4.4351 7.6147 12.6634 9.6119 8.2524 8.4106 4.1586 7.7042 3.5641 3.9420 7.0555 3.8542 6.6106 4.9706 11.8393 4.0537 6.4756 8.2355 7.0158 4.5904 9.5695 7.1086 7.4686 6.0835 5.4704 4.0872 9.6304 6.4056 6.8299 4.0147
13000 3.9742 8.7963 13.1835 9.1994 9.0494 9.1341 4.2511 8.2606 3.8610 4.0342 6.1091 3.9221 6.8309 4.2709 12.3687 3.8945 6.7552 8.1251 6.9713 3.8197 9.3165 6.8819 7.6395 5.6164 4.5119 3.9947 9.9363 6.3610 6.6368 4.3560
14000 3.9811 8.8275 13.2660 8.9446 9.1445 8.7925 4.3313 7.1139 3.8845 4.2061 7.0135 3.9257 7.4535 3.6089 11.6154 4.7198 6.3273 7.4511 7.2684 4.1582 9.6765 6.7646 7.7214 6.3275 4.2644 4.4450 9.8445 7.1761 6.6893 4.4608
15000 3.7701 9.1778 12.4667 8.4575 9.3838 8.7619 4.0556 8.1471 3.7268 4.1595 6.5086 3.8171 6.9167 3.9345 12.3789 4.0285 6.6999 7.9201 7.0700 4.0653 10.1552 6.7495 8.2051 6.5068 5.2494 3.7934 9.9240 6.9257 6.7673 4.4913
16000 3.9181 9.4544 12.3853 8.4732 9.6708 8.6927 3.5818 7.5013 4.3582 4.0827 5.9453 3.7999 7.6375 3.6403 12.3590 4.6484 6.9458 7.9491 6.7266 3.8231 8.9442 6.7405 7.0174 6.6729 5.6078 4.5304 9.3816 7.5008 6.7759 4.5374
17000 4.1043 10.0769 12.3949 8.2229 9.6292 8.5639 3.9263 7.7273 4.4495 4.0831 5.6570 3.7950 7.0969 4.0333 12.2212 4.2599 6.9321 8.0332 6.3336 4.3052 10.0725 6.8536 7.1623 6.5373 5.7888 4.5168 9.8275 6.8934 6.1705 4.2059
18000 4.6499 10.4001 12.0255 8.2183 9.7184 8.0336 4.2907 7.1176 4.0851 3.7973 5.2807 3.9995 6.9483 3.9558 12.5691 4.1774 6.4632 7.0569 6.3220 4.2904 9.2251 7.2847 7.7046 5.5661 4.7463 4.3950 10.0171 6.3373 6.7030 4.6507
19000 3.6465 9.4179 11.8427 8.8060 9.6771 7.5009 4.6178 7.2966 3.9272 4.3936 5.7544 3.8620 6.4897 4.1483 12.4883 4.5994 7.2097 8.2407 6.6439 3.8588 8.9628 7.2566 7.6304 5.1336 4.8716 4.5594 9.6967 5.5932 7.0747 4.4764
20000 4.1536 9.4104 11.3297 8.5695 10.1442 8.0511 4.1527 7.5781 3.8729 4.4716 5.9072 3.9422 6.8294 4.5465 11.3409 4.3811 7.1935 7.9467 6.1087 4.4367 9.2878 6.4772 7.5707 5.3380 4.6017 4.1467 10.1225 6.3747 6.8942 4.0360
21000 3.7006 9.4708 12.0316 9.2302 9.6504 8.2346 4.0796 8.0236 3.6625 4.2608 6.1058 4.0340 6.9866 4.3370 12.5083 3.7634 7.3095 7.8064 7.1082 4.6526 9.0952 6.7825 7.6848 4.6887 4.6479 4.2890 9.7807 5.9623 6.8547 4.3559
22000 3.7411 10.3671 11.5202 8.3620 10.1752 8.1198 4.1565 7.2349 3.9677 3.7049 5.4020 3.8937 7.1010 4.0656 12.3334 4.4566 7.2225 8.0056 6.9226 5.0214 8.7609 6.5992 8.0678 3.9864 5.2217 4.4184 9.6188 6.0898 6.7619 4.6738
23000 4.7191 9.8937 10.8002 8.2411 9.8365 8.9389 4.2150 7.4097 3.8978 3.9681 4.5813 4.2615 7.1462 4.6288 12.6951 4.1640 6.7318 7.3454 7.2400 5.0261 8.1633 6.9576 7.2535 4.5503 5.3196 4.6590 9.7892 6.6442 7.4140 4.0656
24000 4.9624 9.5865 10.6213 8.5768 10.6941 9.0047 4.2290 7.5202 3.7913 4.2137 5.3045 4.1175 6.7360 4.0447 11.8103 4.1816 6.8725 7.6358 6.9646 3.9969 8.7165 6.5593 7.5284 4.3244 5.3026 3.6970 9.3309 5.9276 7.1396 5.2685
25000 4.0922 9.3969 10.4717 8.1236 8.6148 8.6980 4.2775 6.8785 4.3271 4.2797 5.2674 5.6432 6.6197 4.0587 11.7835 3.9403 7.0848 7.9153 7.1938 3.8586 8.8349 6.3727 7.4589 4.4733 4.8943 4.0883 9.9161 5.9203 7.2103 6.1564
26000 3.6740 9.0884 10.6674 8.2266 8.5198 9.2797 4.5028 7.4719 4.1180 4.5148 4.0869 6.1921 7.5061 4.1934 10.6121 4.1804 6.9891 8.5416 7.1659 3.8675 9.7718 6.3743 7.0890 4.3721 5.2994 4.1538 9.7712 5.2168 7.1823 6.7829
27000 3.9903 9.1922 11.1178 8.7516 8.5451 9.0402 4.0953 7.2389 4.4086 3.9881 4.9670 5.6386 8.1443 4.0754 11.0758 4.5495 7.0872 8.4160 7.8465 3.6455 10.1319 7.0252 8.5186 4.4599 4.4797 4.6704 8.9252 6.3282 7.3500 6.3162
28000 4.5906 9.4216 10.5905 8.5530 8.8185 9.0254 3.8342 7.3173 4.0771 3.9646 4.0745 6.1936 6.3526 4.3811 11.1945 3.8298 7.1644 7.3584 8.5375 3.7280 9.2074 6.6024 7.6512 4.2002 4.1789 4.6159 8.7730 6.6331 6.8638 5.4828
29000 4.3325 10.1329 10.8584 8.4983 8.5538 8.6072 3.7508 7.7377 4.3924 4.1513 4.6108 5.9356 7.4472 4.1586 11.1936 4.2688 6.7546 7.5000 7.8929 4.1310 9.4155 6.7531 8.2042 4.1464 4.4156 4.3281 7.9983 6.6450 7.4008 6.1529
30000 3.9115 10.2979 10.4027 8.3948 7.6899 8.6708 3.9541 7.6484 3.7940 4.5555 4.2820 6.2508 6.8827 4.0121 9.6039 4.8445 6.9119 7.3841 8.0548 3.6380 8.8995 6.6581 7.9044 3.8226 4.9671 3.8086 8.2890 6.5205 7.5884 5.6765
31000 3.9523 10.4219 9.8753 8.2116 7.8778 8.8896 3.6349 7.6330 3.8828 4.2937 4.0922 6.0047 6.4488 3.9232 11.4297 3.9721 8.2181 8.2831 7.3489 3.8703 9.3487 6.6695 7.9329 4.1284 4.2405 3.8930 7.8237 6.4792 7.3178 5.5234
32000 3.9894 9.9642 9.8457 8.7019 8.5940 9.1193 3.9528 7.6537 3.9111 4.4633 4.1174 5.9717 6.0486 4.2010 10.4186 4.6581 6.6374 8.0445 8.0075 4.1596 9.8598 6.6910 7.9539 3.6817 5.7000 4.0136 8.3893 7.2910 7.4354 5.7162
