# frame 	 heights
0 3.8630 16.8083 11.3384 10.7929 16.9795 11.2001 12.4167 17.1045 4.1461 3.7969 3.9670 4.2790 4.3032 4.5897 17.0498 6.1558 10.4471 12.8838 19.0202 5.3835 13.7014 16.2239 16.2788 3.7621 3.7953 4.6036 10.1397 5.6556 16.7161 3.9862
1000 4.0594 17.2117 11.4187 10.9611 16.8979 11.3934 12.3093 18.3788 3.9606 3.7139 3.8933 4.2225 3.8520 4.9656 16.7069 6.0425 10.4322 12.1481 18.4350 5.7542 13.6353 15.8586 16.2024 3.8300 3.9056 4.4050 9.5562 5.6652 17.0767 5.4530
2000 3.4407 15.8344 11.1420 11.4185 16.2699 11.0950 12.6639 17.4258 3.9197 3.9056 3.9988 4.6077 4.1972 5.5522 17.0419 6.0847 10.1768 11.7296 18.4771 5.1646 13.9180 16.2815 16.3835 4.4132 4.0070 4.8715 9.3283 4.5594 16.3382 4.5249
3000 3.7376 16.2033 10.9661 12.3749 16.8900 11.5653 12.8560 17.7995 4.2784 3.8469 4.0321 4.2757 3.9278 4.3282 16.8890 5.8067 11.0523 12.4086 18.6778 5.3634 12.9492 15.6809 15.9335 4.1629 3.8727 4.3693 9.0561 4.9370 15.9279 4.2479
4000 3.6953 15.8932 10.0757 10.9998 17.0655 11.4359 13.9497 17.3953 3.8845 3.8576 3.8077 4.4053 3.7473 5.5513 18.0329 5.3360 10.9791 12.7506 19.1120 5.4151 13.9455 16.2879 15.3140 3.9352 3.9538 4.3194 9.2776 4.3358 15.9651 3.8746
5000 4.2680 15.9800 9.7327 11.6331 16.9056 11.2176 13.3636 16.9267 4.1117 3.9794 4.5801 5.4352 4.0452 4.8394 18.4966 5.4149 10.8676 13.1909 19.1608 5.8236 13.6476 16.3051 15.3196 3.8983 3.7879 4.8362 9.5202 4.1055 16.0309 3.7099
6000 3.7942 15.7917 10.2093 11.4410 17.6142 11.1513 12.3816 16.8612 3.9892 3.8218 3.8357 5.6707 3.8697 4.8917 18.7114 5.9449 10.9941 12.6099 19.7484 5.7704 13.5709 16.4770 15.2926 3.7259 3.7969 4.5134 9.9948 5.3840 16.9748 3.9750
7000 3.7803 16.1096 10.6101 11.4579 17.8727 12.1909 12.1444 16.6541 4.0288 3.7240 3.6078 4.5742 3.8321 4.6651 18.0127 5.9529 10.9896 12.8621 19.3241 6.3223 13.6141 16.7522 14.8478 3.6814 4.6780 4.6746 11.1470 4.5815 17.0767 3.9255
8000 4.0867 16.3037 9.8935 11.4571 17.6682 12.9006 12.4522 17.5356 4.0419 4.2503 3.8286 4.6815 4.1146 4.3043 18.9020 6.5324 11.0957 12.7672 19.1843 5.6442 14.1708 17.1937 14.6318 3.8340 4.4686 4.9054 10.6065 3.8540 16.8404 3.9433
9000 4.0084 16.3532 9.7913 11.0377 15.8469 12.2811 13.5050 17.1920 3.8253 3.9965 4.1455 4.8355 3.8903 3.9878 18.1862 6.4767 11.4361 13.9576 19.2281 5.5052 13.5304 16.4288 15.4713 4.7243 5.1942 4.4495 10.0338 4.1153 16.8750 4.0853
10000 4.4239 15.8082 8.7715 11.4488 15.9525 12.3669 13.8880 15.9262 3.8877 4.0961 3.8534 6.1660 3.9927 4.0246 18.3895 6.7041 10.9954 14.7428 18.6269 5.4508 13.2109 16.2389 15.5856 4.1203 4.0374 3.6644 10.6412 4.7934 18.7359 3.9176
11000 4.4386 15.7370 9.0379 10.7780 16.5175 12.3589 14.1279 16.5851 4.1119 3.7108 4.1821 6.0760 4.7315 4.0486 18.1748 6.5347 10.9591 13.4006 18.9558 6.2694 13.0587 15.9191 14.7728 3.8054 4.0348 3.9964 10.0939 5.1990 19.1183 4.1963
12000 4.3107 16.2886 8.9764 10.7745 16.0814 11.8296 14.3215 16.7305 3.8264 3.9529 3.9278 6.1306 4.3377 4.0082 18.6139 6.1744 11.2637 12.8402 19.3598 5.9438 13.2050 15.3964 15.1639 4.0412 4.4142 4.4222 8.3614 4.0424 18.7026 3.8852
13000 3.9490 16.0530 9.1643 10.8868 15.3322 11.5316 14.1517 16.5890 4.2485 3.8843 4.2886 5.7646 4.3359 4.0497 18.4509 6.1922 12.2390 12.7966 20.1445 6.2875 13.6848 15.0384 15.2046 4.2568 3.6944 3.8768 9.2228 4.1317 18.3148 3.7981
14000 3.9072 15.5253 9.9741 10.9334 15.3592 13.4133 14.8328 16.8994 4.3059 3.9830 3.9435 5.8372 4.2191 4.1066 17.4392 6.9075 12.7887 13.6907 20.0706 5.8682 14.1803 15.8626 15.4126 4.2140 3.9126 3.9299 8.7378 4.0526 17.9990 3.8062
15000 3.8617 15.9358 9.5852 10.2630 15.6624 12.5625 13.8681 16.5882 3.9230 4.6408 4.4039 5.8070 4.0143 4.3085 16.7196 6.2700 11.8827 13.2063 20.7815 5.9835 13.7241 15.7827 15.8011 4.1098 4.0102 4.2908 8.6943 4.1332 18.2185 4.4633
16000 4.4004 17.2664 8.8672 11.6315 15.1428 13.8259 14.6568 16.5878 4.2134 3.9485 3.9655 6.7413 4.1706 4.3885 17.6734 6.3908 12.0926 14.0833 20.9046 5.5636 13.9768 16.1835 14.1969 4.8207 3.8609 4.1205 8.7796 3.7354 17.7619 5.2362
17000 4.0894 17.4715 9.1563 10.6318 15.0038 14.2943 13.8867 16.8422 3.8093 3.9136 3.8705 6.2327 3.9694 4.9323 18.1315 6.6080 12.8587 13.6058 21.5059 6.9892 14.0321 16.2187 14.7563 3.8105 3.6125 3.9643 8.8375 4.8069 17.4240 4.4979
18000 3.8243 17.0329 8.5663 11.2246 15.7093 13.7630 14.5941 17.1575 3.6980 3.7461 4.2999 6.5663 3.8806 4.8624 18.6608 6.7854 13.8198 13.5400 21.2414 5.9556 14.3331 16.0414 13.5266 3.8474 4.4817 3.9371 8.0530 4.3935 15.7084 4.9452
19000 3.7092 17.4840 8.7816 11.6281 14.8660 13.9555 14.9754 17.3036 3.9810 4.2501 3.6799 6.4150 4.2557 4.3473 18.9443 6.7972 12.5539 13.4722 20.6260 4.9247 14.0795 15.7252 14.5642 3.9841 4.2935 4.0284 9.0859 4.8347 15.9309 4.4446
20000 3.8215 17.8586 9.2593 11.3052 15.2784 13.6974 14.8391 16.7081 3.8321 3.9090 3.8976 6.2752 4.2597 4.6062 18.3859 6.6140 12.4911 12.4582 21.5856 6.3870 14.1683 15.6644 14.8277 3.7619 3.9997 4.0715 8.6709 4.8061 17.6183 4.2970
21000 3.8817 17.6399 8.3724 11.0680 15.6810 13.5589 14.3833 17.3340 4.3929 4.0006 3.8029 5.6640 3.7643 4.2388 18.3274 6.4785 11.8672 11.7926 19.6650 6.0375 14.1583 15.0065 14.3671 4.1205 4.4256 4.2059 7.7209 4.5508 17.4859 4.0834
22000 4.0604 17.3439 9.0462 11.4076 15.4874 13.7333 14.7705 17.3557 3.7792 3.8490 3.7644 6.0984 4.3642 3.9910 18.1908 6.1404 11.8775 12.7331 19.7408 5.6779 14.4743 15.9046 13.6096 3.8359 4.4121 3.8882 8.5179 5.1812 18.0292 4.5247
23000 3.8109 17.4229 9.1149 11.7410 14.3591 13.7930 14.5425 17.5132 3.7704 3.7842 4.2301 6.2833 3.7630 4.7390 18.4061 6.1880 11.1099 12.9374 18.8556 5.4916 14.1459 15.3855 12.9604 3.9060 4.1519 4.1101 7.7912 4.3928 18.4578 4.5188
24000 3.9800 18.0314 9.2060 12.0101 13.9332 13.5866 14.2910 17.3458 4.1396 4.7192 4.0928 6.3507 3.9024 4.8843 18.2185 6.3834 10.4461 11.9673 19.7913 6.0526 14.2943 15.2182 13.3013 4.7879 4.0755 4.8638 7.7642 4.6307 18.6698 5.0174
