# frame 	 heights
0 18
1000 18
2000 18
3000 18
4000 18
5000 18
6000 18
7000 18
8000 18
9000 18
10000 18
11000 18
12000 18
13000 18
14000 18
15000 18
16000 18
17000 18
18000 18
19000 18
20000 18
21000 18
22000 18
23000 18
24000 18
25000 18
26000 18
27000 18
28000 18
29000 18
30000 18
31000 18
32000 18
33000 18
34000 18
35000 18
36000 18
37000 18
38000 18
39000 18
40000 18
41000 18
42000 18
43000 18
44000 18
45000 18
46000 18
47000 18
48000 18
49000 18
50000 18
51000 18
52000 18
53000 18
54000 18
55000 18
56000 18
57000 18
58000 18
59000 18
60000 18
61000 18
62000 18
63000 18
64000 18
65000 18
66000 18
67000 18
68000 18
69000 18
70000 18
71000 18
72000 18
73000 18
74000 18
75000 18
76000 18
77000 18
78000 18
79000 18
80000 18
81000 18
82000 18
83000 18
84000 18
85000 18
86000 18
87000 18
88000 18
89000 18
90000 18
91000 18
92000 18
93000 18
94000 18
95000 18
96000 18
97000 18
98000 18
99000 18
100000 18
101000 18
102000 18
103000 18
104000 18
105000 18
106000 18
107000 18
108000 18
109000 18
110000 18
111000 18
112000 18
113000 18
114000 18
115000 18
116000 18
117000 18
118000 18
119000 18
120000 18
121000 18
122000 18
123000 18
124000 18
125000 18
126000 18
127000 18
128000 18
129000 18
130000 18
131000 18
132000 18
133000 18
134000 18
135000 18
136000 18
137000 18
138000 18
139000 18
140000 18
141000 18
142000 18
143000 18
144000 18
145000 18
146000 18
147000 18
148000 18
149000 18
150000 18
151000 18
152000 18
153000 18
154000 18
155000 18
156000 18
157000 18
158000 18
159000 18
160000 18
161000 18
162000 18
163000 18
164000 18
165000 18
166000 18
167000 18
168000 18
169000 18
170000 18
171000 18
172000 18
173000 18
174000 18
175000 18
176000 18
177000 18
178000 18
179000 18
180000 18
181000 18
182000 18
183000 18
184000 18
185000 18
186000 18
187000 18
188000 18
189000 18
190000 18
191000 18
192000 18
193000 18
194000 18
195000 18
196000 18
197000 18
198000 18
199000 18
200000 18
201000 18
202000 18
